description,job_title,link,location,price,proposal
I need a website redesign for my loan broker company. I will be giving competitor websites as references and need a full redesign including content.,Empire Cap Fund,https://www.freelancer.com/projects/website-design/empire-cap-fund,"Sound Beach, United States",$750-1500 USD,85 proposals
"Hello,",Google Search Ad Expert wanted,https://www.freelancer.com/projects/google-adwords/google-search-expert-wanted,"Bangalore, India",$30-250 USD,22 proposals
I am looking for a full stack developer who can help me solve a functionality bug in my Flutter and PHP Laravel admin project. The bug needs to be fixed in less than a day.,"Need full stack developer to solve small bug, flutter+php laravel admin",https://www.freelancer.com/projects/php/need-full-stack-developer-solve,"jodhpur, India",₹600-1500 INR,8 proposals
"I am looking to hire a video editor who specializes in editing videos for YouTube in all niches. The ideal candidate should have experience in editing videos that are less than 5 minutes in duration. Skills and Experience: - Proficiency in basic editing techniques and color correction - Familiarity with YouTube video editing requirements and best practices - Ability to create dynamic intro and outro designs - Knowledge of motion graphics and animation - Experience in using specific software for video editing (client has specific software requirements) If you are a professional video editor with a strong portfolio and the ability to meet the specific software requirements, I would love to hear from you. Please provide examples of your previous work and let me know your availability and rates.",Hiring Video Editor For Youtube Edits .,https://www.freelancer.com/projects/video-editing/hiring-video-editor-for-youtube-37025235,"Agra, India",₹600-1500 INR,15 proposals
"I'm looking for someone to create a powerpoint presentation for me. The purpose of the presentation is to inform the audience about a particular topic. I would like to include visuals such as images, with no videos or diagrams necessary. This presentation should be formatted for an on-screen display. If you have experience in creating informative presentations, please let me know!",Power point presentation,https://www.freelancer.com/projects/powerpoint/power-point-presentation-37025221,"Ahmedabad, India",₹600-1500 INR,38 proposals
"I am looking for an experienced architectural draftsman who can create a residential building draft for a project in the city of Toronto. The size of the project is 2000 square feet and the draft should include a 2D blueprint of the building’s plan and elevation. No 3D design is required. All applicants should have excellent knowledge of architectural principles, as well as technique proficiency with CAD software to produce the blueprint. This project requires high attention to detail and creativity. Quality and cost-efficient work will be highly appreciated.",architectural draft drawing for the city of toronto,https://www.freelancer.com/projects/autocad/architectural-draft-drawing-for-the,"Maple, Canada",$250-750 USD,35 proposals
Project Description: 3 page clickbank digital product website and also integration with clickbank accelerator platform,3 page clickbank digital product website,https://www.freelancer.com/projects/website-design/page-clickbank-digital-product-website,"Lagos, Nigeria",$25-55 USD,31 proposals
i need some one good with server administration linux ubuntu to check why the server is too slow,server ubuntu 20 too slow,https://www.freelancer.com/projects/linux/server-ubuntu-too-slow,"lyon, Tunisia",$10-30 USD,14 proposals
i need,Money transfer App,https://www.freelancer.com/projects/android/money-transfer-app-37025247,"Johannesburg, South Africa",$1500-3000 USD,60 proposals
We are part of a worldwide network providing drug testing services. We have a presence in multiple countries.,"[Thailand, Si Racha] Hiring urine specimen collector for pre-employment drug testing.",https://www.freelancer.com/projects/local-job/thailand-racha-hiring-urine-specimen,"Singapore, Singapore",$20-30 USD,Open for bidding
I will provide an excel file with links of the product detail pages of [login to view URL],web crawling / scraping,https://www.freelancer.com/projects/dot-net/web-crawling-scraping,"Essen, Germany",$10-30 USD / hour,19 proposals
Hi I'm looking for excel script to feed data file and separate the data in column for data verification. Pls reach out if you have expertise in excel work. Thank you!,Need VBA excel script for school work,https://www.freelancer.com/projects/excel/need-vba-excel-script-for,"Des Moines, United States",$10-30 USD,50 proposals
,,"https://www.freelancer.com/login?goto=ODhlYzE0NTUwNTRjZTY4Y2UwMmMxMjEzNmJiYjY4NDdodHRwczovL3d3dy5mcmVlbGFuY2VyLmNvbS9wcm9qZWN0cy9hdXRvY2FkL2hhbmdhci1lbmdpbmVlcmluZy1kb2N1bWVudHM,",,,
"Hi, I'm looking for a talented writer to help me create website copy for a project called BeReal.Pets. The type of content needed will be website copy that is engaging and informative. ’m excited to present to you my online business project, which embodies my passion for animals and my desire to create a positive impact through high-quality products and a trusted customer relationship. I aim to create a website and logo that capture the essence of this vision and provide an engaging experience for fellow animal lovers like ourselves.",[login to view URL],https://www.freelancer.com/projects/content-writing/bereal-pets,"Barcelona, Spain",€30-250 EUR,42 proposals
"We are ISP and have mikrotik 1036 need to configure and allow PPPoE clients to communicate with squid cache server transparent mode, squid server is ready and configured as transparent cache server and its caching perfect, we require a mikrotik specialist that can make this happen",Mikrotik specialist for squid cache server -- 2,https://www.freelancer.com/projects/linux/mikrotik-specialist-for-squid-cache,Lebanon,$30-250 USD,12 proposals
"Confirmis ([login to view URL]) is a Singapore-based business information provider specializing in connecting businesses with global capabilities; comprised of industry veterans, Confirmis business model is designed to overcome perennial lack of data (let alone quality data) to support effective decision making, particularly in developing economies.","Confirmis Site Verifier (Banjarmasin, Indonesia)",https://www.freelancer.com/projects/research/confirmis-site-verifier-banjarmasin,"Las Pinas, Philippines",$10-11 USD,Open for bidding
I am looking for a skilled freelancer who can create detailed window elevations for my project. The purpose of these elevations is for window manufacture production.,Need somebody to do elevations of windows from pdf floor plan,https://www.freelancer.com/projects/autocad/need-somebody-elevations-windows-from,"Toronto, Canada",$10-30 CAD,22 proposals
